lottery_type,date,draw,main_numbers,supplementary,source
Powerball,2018-08-16,1161,3 13 27 31 32 33 35 ,3 ,ozlotteries.com
Powerball,2018-08-09,1160,4 5 10 12 13 18 34 ,19 ,ozlotteries.com
Powerball,2018-08-02,1159,1 3 9 17 22 32 34 ,19 ,ozlotteries.com
Powerball,2018-07-26,1158,1 7 8 22 28 31 32 ,15 ,ozlotteries.com
Powerball,2018-07-19,1157,2 4 22 23 24 25 29 ,17 ,ozlotteries.com
Powerball,2018-07-12,1156,4 16 18 23 25 31 32 ,5 ,ozlotteries.com
Powerball,2018-07-05,1155,7 20 23 29 32 33 34 ,16 ,ozlotteries.com
Powerball,2018-06-28,1154,2 4 7 17 25 28 34 ,3 ,ozlotteries.com
Powerball,2018-06-21,1153,2 5 9 13 24 31 35 ,16 ,ozlotteries.com
Powerball,2018-06-14,1152,2 6 7 14 16 29 31 ,15 ,ozlotteries.com
Powerball,2018-06-07,1151,14 22 23 24 30 32 34 ,9 ,ozlotteries.com
Powerball,2018-05-31,1150,8 9 18 27 29 30 32 ,6 ,ozlotteries.com
Powerball,2018-05-24,1149,2 12 14 18 19 23 25 ,17 ,ozlotteries.com
Powerball,2018-05-17,1148,3 9 16 25 26 31 34 ,9 ,ozlotteries.com
Powerball,2018-05-10,1147,6 14 15 24 26 32 35 ,14 ,ozlotteries.com
Powerball,2018-05-03,1146,1 3 6 16 19 20 24 ,13 ,ozlotteries.com
Powerball,2018-04-26,1145,9 14 15 19 24 34 35 ,12 ,ozlotteries.com
Powerball,2018-04-19,1144,4 5 9 13 25 32 33 ,7 ,ozlotteries.com
