GAME,"DRAW ID","DRAW DATE","MAIN NUMBERS",SUPP
oz_lotto,1255,"Tuesday 06 Mar 2018","5 30 34 41 18 38 37 ","28 11 "
oz_lotto,1254,"Tuesday 27 Feb 2018","33 2 29 31 16 39 25 ","42 36 "
oz_lotto,1253,"Tuesday 20 Feb 2018","2 29 1 35 11 15 5 ","31 21 "
oz_lotto,1252,"Tuesday 13 Feb 2018","42 26 3 37 40 2 35 ","36 32 "
oz_lotto,1251,"Tuesday 06 Feb 2018","6 35 43 41 22 40 11 ","21 45 "
oz_lotto,1250,"Tuesday 30 Jan 2018","24 12 45 5 40 31 2 ","30 16 "
oz_lotto,1249,"Tuesday 23 Jan 2018","31 25 21 44 33 28 16 ","35 1 "
oz_lotto,1248,"Tuesday 16 Jan 2018","9 37 26 23 30 7 4 ","38 5 "
oz_lotto,1247,"Tuesday 09 Jan 2018","45 26 8 1 43 9 40 ","34 27 "
oz_lotto,1246,"Tuesday 02 Jan 2018","8 26 1 12 30 43 28 ","7 11 "
oz_lotto,1245,"Tuesday 26 Dec 2017","7 30 37 2 41 9 45 ","33 23 "
oz_lotto,1244,"Tuesday 19 Dec 2017","34 35 18 44 26 37 5 ","1 36 "
oz_lotto,1243,"Tuesday 12 Dec 2017","6 31 35 7 4 43 3 ","5 2 "
oz_lotto,1242,"Tuesday 05 Dec 2017","45 4 22 34 26 9 28 ","43 15 "
oz_lotto,1241,"Tuesday 28 Nov 2017","16 3 9 7 28 35 19 ","10 1 "
oz_lotto,1240,"Tuesday 21 Nov 2017","14 15 45 33 26 16 23 ","24 5 "
oz_lotto,1239,"Tuesday 14 Nov 2017","15 3 16 5 25 30 1 ","40 12 "
oz_lotto,1238,"Tuesday 07 Nov 2017","45 4 37 12 30 26 13 ","10 17 "
oz_lotto,1237,"Tuesday 31 Oct 2017","6 23 21 30 42 44 32 ","29 9 "
oz_lotto,1236,"Tuesday 24 Oct 2017","31 15 22 9 35 40 44 ","32 36 "
oz_lotto,1235,"Tuesday 17 Oct 2017","41 40 38 39 7 23 32 ","35 19 "
oz_lotto,1234,"Tuesday 10 Oct 2017","17 42 20 7 31 28 12 ","1 25 "
oz_lotto,1233,"Tuesday 03 Oct 2017","43 36 7 30 14 9 26 ","41 38 "
oz_lotto,1232,"Tuesday 26 Sep 2017","41 45 8 14 6 13 33 ","15 42 "
oz_lotto,1231,"Tuesday 19 Sep 2017","15 6 37 29 42 14 31 ","30 45 "
oz_lotto,1230,"Tuesday 12 Sep 2017","1 44 20 41 24 12 45 ","6 38 "
oz_lotto,1229,"Tuesday 05 Sep 2017","16 45 4 35 8 28 27 ","22 34 "
